Grid_txt,Latitude,Longitude
1,38.7461,-78.668
2,38.7457,-78.6495
3,38.762,-78.7416
4,38.7617,-78.7231
5,38.7613,-78.7046
6,38.7609,-78.6861
7,38.7606,-78.6676
8,38.7602,-78.6491
9,38.7598,-78.6306
10,38.7769,-78.7597
11,38.7765,-78.7411
12,38.7762,-78.7226
13,38.7758,-78.7041
14,38.7754,-78.6856
15,38.7751,-78.6671
16,38.7747,-78.6486
17,38.7743,-78.6301
18,38.7739,-78.6116
19,38.7914,-78.7592
20,38.791,-78.7407
21,38.7906,-78.7222
22,38.7903,-78.7037
23,38.7899,-78.6851
24,38.7895,-78.6666
25,38.7892,-78.6481
26,38.7888,-78.6296
27,38.7884,-78.6111
28,38.8066,-78.7958
29,38.8062,-78.7773
30,38.8059,-78.7588
31,38.8055,-78.7402
32,38.8051,-78.7217
33,38.8048,-78.7032
34,38.8044,-78.6847
35,38.804,-78.6662
36,38.8037,-78.6476
37,38.8033,-78.6291
38,38.8029,-78.6106
39,38.8025,-78.5921
40,38.821,-78.7953
41,38.8207,-78.7768
42,38.8203,-78.7583
43,38.82,-78.7398
44,38.8196,-78.7213
45,38.8193,-78.7027
46,38.8189,-78.6842
47,38.8185,-78.6657
48,38.8182,-78.6472
49,38.8178,-78.6286
50,38.8174,-78.6101
51,38.817,-78.5916
52,38.8352,-78.7764
53,38.8348,-78.7578
54,38.8345,-78.7393
55,38.8341,-78.7208
56,38.8338,-78.7023
57,38.8334,-78.6837
58,38.833,-78.6652
59,38.8326,-78.6467
60,38.8323,-78.6282
61,38.8319,-78.6096
62,38.8315,-78.5911
63,38.8311,-78.5726
64,38.85,-78.7945
65,38.8497,-78.7759
66,38.8493,-78.7574
67,38.849,-78.7389
68,38.8486,-78.7203
69,38.8482,-78.7018
70,38.8479,-78.6833
71,38.8475,-78.6647
72,38.8471,-78.6462
73,38.8468,-78.6277
74,38.8464,-78.6091
75,38.846,-78.5906
76,38.8456,-78.5721
77,38.8452,-78.5536
78,38.8448,-78.535
79,38.8649,-78.8125
80,38.8645,-78.794
81,38.8642,-78.7755
82,38.8638,-78.7569
83,38.8635,-78.7384
84,38.8631,-78.7199
85,38.8627,-78.7013
86,38.8624,-78.6828
87,38.862,-78.6643
88,38.8616,-78.6457
89,38.8613,-78.6272
90,38.8609,-78.6087
91,38.8605,-78.5901
92,38.8601,-78.5716
93,38.8597,-78.5531
94,38.8593,-78.5345
95,38.879,-78.7936
96,38.8787,-78.775
97,38.8783,-78.7565
98,38.878,-78.7379
99,38.8776,-78.7194
100,38.8772,-78.7009
101,38.8769,-78.6823
102,38.8765,-78.6638
103,38.8761,-78.6452
104,38.8757,-78.6267
105,38.8754,-78.6082
106,38.875,-78.5896
107,38.8746,-78.5711
108,38.8742,-78.5526
109,38.8738,-78.534
110,38.8734,-78.5155
111,38.8935,-78.7931
112,38.8932,-78.7746
113,38.8928,-78.756
114,38.8924,-78.7375
115,38.8921,-78.7189
116,38.8917,-78.7004
117,38.8914,-78.6819
118,38.891,-78.6633
119,38.8906,-78.6448
120,38.8902,-78.6262
121,38.8899,-78.6077
122,38.8895,-78.5891
123,38.8891,-78.5706
124,38.8887,-78.5521
125,38.8883,-78.5335
126,38.8879,-78.515
127,38.9073,-78.7556
128,38.9069,-78.737
129,38.9066,-78.7185
130,38.9062,-78.6999
131,38.9058,-78.6814
132,38.9055,-78.6628
133,38.9051,-78.6443
134,38.9047,-78.6257
135,38.9043,-78.6072
136,38.904,-78.5887
137,38.9036,-78.5701
138,38.9032,-78.5516
139,38.9028,-78.533
140,38.9024,-78.5145
141,38.902,-78.4959
142,38.9218,-78.7551
143,38.9214,-78.7366
144,38.9211,-78.718
145,38.9207,-78.6995
146,38.9203,-78.6809
147,38.92,-78.6624
148,38.9196,-78.6438
149,38.9192,-78.6253
150,38.9188,-78.6067
151,38.9185,-78.5882
152,38.9181,-78.5696
153,38.9177,-78.5511
154,38.9173,-78.5325
155,38.9169,-78.514
156,38.9165,-78.4954
157,38.9359,-78.7361
158,38.9356,-78.7175
159,38.9348,-78.6804
160,38.9345,-78.6619
161,38.9341,-78.6433
162,38.9337,-78.6248
163,38.9333,-78.6062
164,38.9329,-78.5877
165,38.9326,-78.5691
166,38.9322,-78.5506
167,38.9318,-78.532
168,38.9314,-78.5135
169,38.931,-78.4949
170,38.9306,-78.4764
171,38.9489,-78.6614
172,38.9486,-78.6429
173,38.9482,-78.6243
174,38.9478,-78.6057
175,38.9474,-78.5872
176,38.947,-78.5686
177,38.9467,-78.5501
178,38.9463,-78.5315
179,38.9459,-78.513
180,38.9455,-78.4944
181,38.9451,-78.4759
182,38.9447,-78.4573
183,38.9634,-78.6609
184,38.9631,-78.6424
185,38.9627,-78.6238
186,38.9623,-78.6053
187,38.9619,-78.5867
188,38.9615,-78.5681
189,38.9611,-78.5496
190,38.9608,-78.531
191,38.9604,-78.5125
192,38.96,-78.4939
193,38.9596,-78.4753
194,38.9592,-78.4568
195,38.9588,-78.4382
196,38.9776,-78.6419
197,38.9772,-78.6233
198,38.9768,-78.6048
199,38.9764,-78.5862
200,38.976,-78.5676
201,38.9756,-78.5491
202,38.9752,-78.5305
203,38.9749,-78.512
204,38.9745,-78.4934
205,38.9741,-78.4748
206,38.9737,-78.4563
207,38.9732,-78.4377
208,38.9728,-78.4192
209,38.9909,-78.5857
210,38.9905,-78.5671
211,38.9901,-78.5486
212,38.9897,-78.53
213,38.9893,-78.5114
214,38.9889,-78.4929
215,38.9885,-78.4743
216,38.9881,-78.4558
217,38.9877,-78.4372
218,38.9873,-78.4186
219,38.9869,-78.4001
220,38.9727,-77.8248
221,38.9722,-77.8063
222,38.9716,-77.7877
223,38.9711,-77.7692
224,38.9706,-77.7506
225,38.9701,-77.7321
226,38.9696,-77.7135
227,38.9691,-77.695
228,38.9685,-77.6764
229,38.968,-77.6579
230,38.9675,-77.6393
231,38.9669,-77.6208
232,39.005,-78.5667
233,39.0046,-78.5481
234,39.0042,-78.5295
235,39.0038,-78.5109
236,39.0034,-78.4924
237,39.003,-78.4738
238,39.0026,-78.4552
239,39.0022,-78.4367
240,39.0018,-78.4181
241,39.0014,-78.3995
242,39.001,-78.381
243,38.9997,-78.3253
244,38.9993,-78.3067
245,38.9891,-77.8984
246,38.9886,-77.8798
247,38.9881,-77.8613
248,38.9876,-77.8427
249,38.9871,-77.8242
250,38.9866,-77.8056
251,38.9861,-77.7871
252,38.9856,-77.7685
253,38.9851,-77.75
254,38.9846,-77.7314
255,38.9841,-77.7129
256,38.9835,-77.6943
257,38.983,-77.6758
258,38.9825,-77.6572
259,38.9819,-77.6387
260,38.9814,-77.6201
261,39.0195,-78.5662
262,39.0191,-78.5476
263,39.0187,-78.529
264,39.0183,-78.5104
265,39.0179,-78.4919
266,39.0175,-78.4733
267,39.0171,-78.4547
268,39.0167,-78.4361
269,39.0163,-78.4176
270,39.0159,-78.399
271,39.0155,-78.3804
272,39.015,-78.3619
273,39.0146,-78.3433
274,39.0142,-78.3247
275,39.0138,-78.3062
276,39.0133,-78.2876
277,39.0051,-77.9534
278,39.0046,-77.9349
279,39.0041,-77.9163
280,39.0036,-77.8978
281,39.0031,-77.8792
282,39.0026,-77.8606
283,39.0021,-77.8421
284,39.0016,-77.8235
285,39.0011,-77.805
286,39.0006,-77.7864
287,39.0001,-77.7678
288,38.9996,-77.7493
289,38.9991,-77.7307
290,38.9985,-77.7122
291,38.998,-77.6936
292,38.9975,-77.6751
293,38.997,-77.6565
294,38.9964,-77.638
295,38.9959,-77.6194
296,39.034,-78.5657
297,39.0336,-78.5471
298,39.0332,-78.5285
299,39.0328,-78.5099
300,39.0324,-78.4913
301,39.032,-78.4728
302,39.0316,-78.4542
303,39.0312,-78.4356
304,39.0308,-78.417
305,39.0304,-78.3985
306,39.03,-78.3799
307,39.0295,-78.3613
308,39.0291,-78.3428
309,39.0287,-78.3242
310,39.0283,-78.3056
311,39.0278,-78.287
312,39.0274,-78.2685
313,39.0201,-77.9714
314,39.0196,-77.9528
315,39.0191,-77.9342
316,39.0186,-77.9157
317,39.0181,-77.8971
318,39.0176,-77.8786
319,39.0171,-77.86
320,39.0166,-77.8414
321,39.0161,-77.8229
322,39.0156,-77.8043
323,39.0151,-77.7858
324,39.0146,-77.7672
325,39.0141,-77.7486
326,39.0135,-77.7301
327,39.013,-77.7115
328,39.0125,-77.693
329,39.012,-77.6744
330,39.0114,-77.6558
331,39.0109,-77.6373
332,39.0104,-77.6187
333,39.0485,-78.5652
334,39.0481,-78.5466
335,39.0477,-78.528
336,39.0473,-78.5094
337,39.0469,-78.4908
338,39.0465,-78.4723
339,39.0461,-78.4537
340,39.0457,-78.4351
